,Unnamed: 0,_id,address,ambience_rating,food_rating,rating,rest_name,review,review_length,review_title,rid,service_rating,url
0,0,5501b003ce17c917795f5b7b,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,5.0,4.4,Harris',"There's not much you can do wrong at Harris! The martinis are great, the wine list is actually a small book and most important : the food is just perfect!  If you want to eat the best steak in a very nice, traditional restaurant, Harris is your place!",251,"Great, traditional steak house",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=1
1,1,5501b003ce17c917795f5b7c,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,5.0,4.4,Harris',This is the best steak house in the City.  The steaks are cooked perfectly and the service is very professional and friendly.  The ambiance is elegant and great for special occasions.,183,Meat lovers delight,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=2
2,2,5501b003ce17c917795f5b7d,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',Great dinner!  We had a wonderful evening! Server was very attentive and accommodating.  Definitely going back!,111,Sweet Steak House!,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=3
3,3,5501b004ce17c917795f5b7e,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',We eat at Harris' almost weekly and it's always good. The service especially keeps us coming back. It is the only place I dine where I don't feel at all nervous. I LOVE the ice tub the cocktails come in .,204,Always good,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=4
4,4,5501b004ce17c917795f5b7f,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',I highly recommend this steakhouse. Great service and ambience was terrific! Had the Buffalo rib eye steak was the best I had. Recommend to anyone who want to enjoy a nice time out with your family or love one with the best steaks in SF.,237,Outstanding Steakhouse,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=5
5,5,5501b004ce17c917795f5b80,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"We (two couples) dined there twice within four days. Both times service was excellent, the food outstanding!
Very nice: the bar, adjacent to the dining room is a lively place for an after dinner drink. Or two....",212,We (two couples) dined there twice withi...,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=6
6,6,5501b004ce17c917795f5b81,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,3.0,4.4,Harris',PEPPER STEAK NOT MEDIUM BUT WELL DONE BIG MISTAKE WITH SUCH A PRICE,67,PEPPER STEAK NOT MEDIUM BUT,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=7
7,7,5501b005ce17c917795f5b83,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"This was our first time at Harris. We had an excellent meal. I had the Niner which was cooked perfectly and tasted delicious. A perfect restaurant for listening to live, quiet piano music from the bar next door while you enjoy one of San Francisco's finest meals.",263,Great Experience,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=9
8,8,5501b005ce17c917795f5b85,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',In service and the food is very well. Best Steaks of course,59,Constantly good,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=11
9,9,5501b005ce17c917795f5b82,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,4.0,4.4,Harris',"The steaks and those lovely booths continue to be the star of the show. We had a lovely meal - but the service was not reflective of the quality of the space or the prices. Our waiter removed glasses and dishes from some of our party without asking if we were done. Perhaps staffing has been cut or there is something else going on but our waiter did not anticipate our needs, check back frequently (and unobtrusively) or show any sign that he had ever worked at a restaurant at this level. We were entertaining clients so did not say anything - but very disappointed that the evening was not up to the standards set at other visits to this restaurant. We will try again - the steaks are outstanding - so hoping this was an isolated incident.",742,The steaks and those lovely,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=8
