,Unnamed: 0,Unnamed: 0.1,_id,address,ambience_rating,food_rating,rating,rest_name,review,review_length,review_title,rid,service_rating,url
0,0,0,5501b4c34b4f031faba3cfd0,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',Went here with a group of friends and had a delicious meal.  Everyone had a steak and some also had lobster. Atmosphere was nice and we could hear pianos from the other end. Waitress very attentive and the wine list was very good. Would happily come back again. Only downside was we didn't have room for dessert ;-),315,great catch up dinner venue,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=1
1,1,1,5501b4c34b4f031faba3cfd1,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,5.0,4.4,Harris',"This was my first time to Harris Steakhouse and was recommended by friends.  All entrees were perfectly cooked.  All meat was tender and flavorful.  The salmon was 'melt in your mouth' good.

I was disappointed in the service.  I made reservations 2 months ahead of time for 5 pm for a party of 6.  They sent us to the 'back room' which consisted of 8 large round tables and the room lacked the ambiance that I wanted when I originally chose this restaurant.  I felt I was being seated at the children's table. I could have selected any restaurant to have eaten in a large back room but the reason I selected this one was for the experience in the main dining room.

Then upon entering the back room, the hostess and waitress debated which table we were to be seated at while we stood there for 5 minutes.  It was very unprofessional and embarrassing, especially since all of the tables were empty.",898,"Harris Steakhouse. Good food, bad service.",10,1.0,http://www.opentable.com/harris?rid=10&tab=2&page=2
2,2,2,5501b4c44b4f031faba3cfd2,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,3.0,4.4,Harris',I have been doing at Harris only couple of times with my wife As we are from outboard. The place is the same which we liked however the attitude was different and in somehow we felt that the steaks even the meat was exellent was over seasoned. The texture of the meant was exellent.,282,Seldom dining,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=3
3,3,3,5501b4c44b4f031faba3cfd3,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,4.0,4.4,Harris',"We had a very nice dinner, the service was professional and friendly. We really enjoyed ourselves, thank you",108,Great time,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=4
4,4,4,5501b4c44b4f031faba3cfd4,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,5.0,4.4,Harris',"The service was not up to the standards of the restaurant. Service should be impeccable when you're ordering a 50-75 dollar steak per person. We were a group of 6 people, and they added a two-top table to the end of a banquet which was uncomfortable for the two people that had to sit on the chairs in the aisle..",313,Service Not Up to Par,10,2.0,http://www.opentable.com/harris?rid=10&tab=2&page=5
5,5,5,5501b4c44b4f031faba3cfd5,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"If you like a real good Steak then you are wright here. Service is excellent, a lil bit dark inside, but every Penny is worth there.
Chocolade Cake is great for the finish. We will come back for sure.",200,Wonderfull Place,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=6
6,6,6,5501b4c44b4f031faba3cfd6,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"We just love dinner at Harris'.  It's old world elegance with great food and great service.  There's a little feeling of Mad Men about it.

It's everything a steak house should be.",182,Our favorite restaurant in SF,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=7
7,7,7,5501b4c54b4f031faba3cfd7,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"I highly recommend this place for the amazing taste of their steaks. I liked their service, these guys are pros when it comes to service. The ambience is nice and quite the interior decorations are classic type where the richness of the place.",243,"Brilliant steaks, taste amazing",10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=8
8,8,8,5501b4c54b4f031faba3cfd8,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,4.0,4.4,Harris',"After waiting for 20 years, finally had dinner with wife on a Thursday night, heard so much about Harris. We shared one bone in ribeye steak, and very pricey at $56, ordered medium rare minus (between rare and med. rare), and steak came out perfect. Very nice steak but as many reviewers stated, not outstanding, just very good. However the scalloped potatoes were outstanding. Ceasar salad and baked Alaska were just average, nothing special. But the sweetbreads appetier was terrific. Overall a nice experience for a special occasion. Service was excellent. Harris was packed on a weekday. and many parties very noisy.",620,Nice Steakhouse,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=9
9,9,9,5501b4c54b4f031faba3cfd9,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"The Service was outstanding. Great warm crusty bread, and the filet was exactly what I wanted. It is a bit like a scene out of Mad Men. Nice for a booths for a group of four.",174,"Great Steak, Great Bread, Great",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=10
